date,datatype,station,value
2018-01-18,TMAX,GHCND:USR0000CDGR,47.0
2018-01-18,TMIN,GHCND:USR0000CDGR,31.0
2018-01-18,TMAX,GHCND:USR0000CHAY,48.0
2018-01-18,TMIN,GHCND:USR0000CHAY,33.0
2018-01-18,TMAX,GHCND:USR0000CHNM,51.0
2018-01-18,TMIN,GHCND:USR0000CHNM,41.0
2018-01-18,TMAX,GHCND:USR0000CSNL,59.0
2018-01-18,TMIN,GHCND:USR0000CSNL,49.0
2018-01-18,PRCP,GHCND:USS0019L39S,0.3
2018-01-18,TMAX,GHCND:USS0019L39S,53.0
2018-01-18,TMIN,GHCND:USS0019L39S,35.0
2018-01-19,PRCP,GHCND:US1CAAL0012,0.15
2018-01-19,PRCP,GHCND:US1CALA0046,0.0
2018-01-19,PRCP,GHCND:US1CAMP0008,0.52
2018-01-19,PRCP,GHCND:US1CASC0057,0.2
2018-01-19,PRCP,GHCND:US1CASD0053,0.0
2018-01-19,PRCP,GHCND:USC00041697,0.75
2018-01-19,TMAX,GHCND:USC00041697,58.0
2018-01-19,TMIN,GHCND:USC00041697,31.0
2018-01-19,TMAX,GHCND:USR0000CBAR,54.0
2018-01-19,TMIN,GHCND:USR0000CBAR,42.0
2018-01-19,TMAX,GHCND:USR0000CCRE,38.0
2018-01-19,TMIN,GHCND:USR0000CCRE,12.0
2018-01-19,TMAX,GHCND:USR0000CDGR,44.0
2018-01-19,TMIN,GHCND:USR0000CDGR,20.0
2018-01-19,TMAX,GHCND:USR0000CHAY,45.0
2018-01-19,TMIN,GHCND:USR0000CHAY,30.0
2018-01-19,TMAX,GHCND:USR0000CHNM,42.0
2018-01-19,TMIN,GHCND:USR0000CHNM,27.0
2018-01-19,TMAX,GHCND:USR0000CSNL,60.0
2018-01-19,TMIN,GHCND:USR0000CSNL,39.0
2018-01-19,PRCP,GHCND:USS0019L39S,0.3
2018-01-19,TMAX,GHCND:USS0019L39S,40.0
2018-01-19,TMIN,GHCND:USS0019L39S,28.0
2018-01-20,PRCP,GHCND:US1CAAL0012,0.0
2018-01-20,PRCP,GHCND:US1CALA0046,0.09
2018-01-20,PRCP,GHCND:US1CAMP0008,0.0
2018-01-20,PRCP,GHCND:US1CASC0057,0.0
2018-01-20,PRCP,GHCND:US1CASD0053,0.15
2018-01-20,PRCP,GHCND:USC00041697,0.01
2018-01-20,TMAX,GHCND:USC00041697,40.0
2018-01-20,TMIN,GHCND:USC00041697,24.0
2018-01-20,TMAX,GHCND:USR0000CBAR,54.0
2018-01-20,TMIN,GHCND:USR0000CBAR,41.0
2018-01-20,TMAX,GHCND:USR0000CCRE,34.0
2018-01-20,TMIN,GHCND:USR0000CCRE,1.0
2018-01-20,TMAX,GHCND:USR0000CDGR,37.0
2018-01-20,TMIN,GHCND:USR0000CDGR,17.0
2018-01-20,TMAX,GHCND:USR0000CHAY,47.0
2018-01-20,TMIN,GHCND:USR0000CHAY,29.0
2018-01-20,TMAX,GHCND:USR0000CHNM,33.0
2018-01-20,TMIN,GHCND:USR0000CHNM,22.0
2018-01-20,TMAX,GHCND:USR0000CSNL,59.0
2018-01-20,TMIN,GHCND:USR0000CSNL,38.0
2018-01-20,PRCP,GHCND:USS0019L39S,0.0
2018-01-20,TMAX,GHCND:USS0019L39S,36.0
2018-01-20,TMIN,GHCND:USS0019L39S,15.0
2018-01-21,PRCP,GHCND:US1CAAL0012,0.0
2018-01-21,PRCP,GHCND:US1CALA0046,0.0
2018-01-21,PRCP,GHCND:US1CAMP0008,0.0
2018-01-21,PRCP,GHCND:US1CASC0057,0.0
2018-01-21,PRCP,GHCND:US1CASD0053,0.0
2018-01-21,PRCP,GHCND:USC00041697,0.0
2018-01-21,TMAX,GHCND:USC00041697,41.0
2018-01-21,TMIN,GHCND:USC00041697,23.0
2018-01-21,TMAX,GHCND:USR0000CBAR,54.0
2018-01-21,TMIN,GHCND:USR0000CBAR,39.0
2018-01-21,TMAX,GHCND:USR0000CCRE,42.0
2018-01-21,TMIN,GHCND:USR0000CCRE,-3.0
2018-01-21,TMAX,GHCND:USR0000CDGR,34.0
2018-01-21,TMIN,GHCND:USR0000CDGR,18.0
2018-01-21,TMAX,GHCND:USR0000CHAY,38.0
2018-01-21,TMIN,GHCND:USR0000CHAY,28.0
2018-01-21,TMAX,GHCND:USR0000CHNM,39.0
2018-01-21,TMIN,GHCND:USR0000CHNM,20.0
